ID,Jogador,Time,Idade,Jogos,Minutos,Roubadas_de_bola,Desarmes,Faltas_cometidas,Dribles_sofridos,Gols,Assistências,Chutes,Passes_chaves,Dribles_realizados,Faltas_sofridas,Impedimentos,Perdas_de_bola,Nota
215,Danielzinho,Bahia,25,14(10),1380,0.5,0.3,0.7,0.8,3,2,1.1,1.9,0.8,1.5,0,0.6,6.60
216,Neilton,Coritiba,26,11(7),1005,1.5,0.6,1.1,1.4,1,3,1.2,0.8,0.9,1.4,0.1,0.8,6.60
217,Gustavo Scarpa,Palmeiras,27,4(13),602,0.2,0.8,0.5,0.2,0,2,1.4,0.9,0.4,0.8,0,0.6,6.60
218,Caju,Goias,25,8(5),966,1.5,1.7,0.8,0.8,0,1,0.4,0.5,0.7,0.6,0.1,0.8,6.60
219,Ariel Cabral,Goias,33,16,1313,1.3,1.7,1.8,1,0,0,0.4,0.3,0.5,0.7,0,0.5,6.59
220,Gustavo Henrique,Flamengo,27,16,1256,0.8,1.1,1.3,0.4,1,0,0.7,0,0.1,0.4,0,0.1,6.59
221,Ricardo Ryller,Red Bull Bragantino,26,21(2),1675,1.9,1.7,2.4,1,2,1,1,0.6,0.3,1.2,0,1,6.59
222,Ramiro,Corinthians,27,16(7),1426,1.1,1.5,2,1,1,1,0.9,0.7,0.2,0.8,0,0.3,6.58
223,Lucas Lima,Palmeiras,30,17(6),1406,1.4,0.4,1.3,1.6,0,1,0.6,1.6,0.7,1.3,0.1,0.7,6.58
224,Matheus Sales,Coritiba,25,20(1),1705,2,0.6,1.7,0.8,0,0,0.4,0.1,1.1,1.9,0,0.4,6.58
225,Robson,Coritiba,29,26(2),2163,0.8,0.5,1.7,1.1,7,1,2.2,1,0.6,1.8,0.6,1.1,6.58
226,Henrique,Vasco da Gama,26,20(1),1740,0.9,1.6,1.7,0.6,0,1,0.2,0.6,0.3,1,0.1,0.3,6.58
227,Natanael Pimienta,Atletico GO,30,7(7),682,1.3,0.9,0.6,0.9,0,1,0.7,0.6,0.6,0.9,0.1,0.1,6.57
228,Alan Steven Franco,Atletico MG,22,15(6),1316,1.3,0.4,1.6,0.5,3,0,1,0.7,0.3,0.7,0,0.5,6.57
229,Gilvan,Atletico GO,31,13(3),1143,0.8,1.4,1.8,0.3,1,0,0.4,0,0.1,0.6,0,0,6.57
230,Keko,Goias,28,16(2),1110,0.8,0.2,1,0.8,0,3,0.9,0.9,1.9,1.5,0.3,1.3,6.57
231,Gabriel Dias,Fortaleza,26,14(10),1378,0.7,0.6,0.7,0.8,1,1,0.5,0.3,0.4,0.9,0.2,0.1,6.57
232,Leandro Carvalho,Ceara,25,9(9),793,0.8,0.6,0.7,0.6,1,1,0.9,0.3,1.9,1.2,0.1,1.1,6.57
233,Fred,Fluminense,37,13(5),1059,0.1,0.2,1.6,0.2,3,2,1.1,0.8,0.2,1.8,0.3,0.6,6.57
234,Vitor Bueno,Sao Paulo,26,10(17),1138,0.6,0.5,0.3,0.4,2,2,1.1,0.4,0.6,0.9,0.1,0.7,6.56
235,Leandro Castán,Vasco da Gama,34,21,1846,1,1.6,1.1,0.3,0,0,0.1,0,0.1,0.9,0,0.1,6.56
236,Darlan,Gremio,22,12(6),1076,1.5,0.8,0.8,1.2,1,0,0.6,0.5,0.4,0.4,0,0.9,6.56
237,Jobson,Santos FC,25,14(5),1157,1.5,1.4,1.6,1.3,2,1,0.5,0.3,0.4,0.8,0.1,0.6,6.56
238,Marcão Silva,Sport Recife,30,15(4),1382,1.3,1.1,1.8,0.7,1,0,0.7,0.3,0.7,0.8,0,0.7,6.56
239,Edimar,Red Bull Bragantino,34,20(3),1775,1.2,1.5,1.4,0.6,1,0,1.1,0.6,0.4,0.5,0,0.3,6.56
240,Kevin,Botafogo RJ,23,23(2),1875,1.8,0.8,1.2,1.3,0,1,0.5,1.2,0.8,0.9,0.1,0.2,6.56
241,Luiz Fernando,Gremio,24,10(7),892,0.5,0.5,1.1,0.5,1,3,1.1,0.8,0.9,1,0.2,0.7,6.56
242,Ernando,Bahia,32,21,1869,0.7,1,0.8,0.3,1,1,0.5,0.3,0.2,0.2,0,0,6.56
243,Wellington Silva,Fluminense,28,15(6),1071,0.5,0.6,0.6,0.6,3,1,0.8,0.7,1.8,1.5,0.1,1,6.56
244,Víctor Cantillo,Corinthians,27,16(3),1079,1.1,0.9,0.9,1.4,0,3,0.4,0.3,0.4,1.2,0,0.5,6.55
245,Diego Cavalieri,Botafogo RJ,38,20,1800,0,0.1,0.1,0,0,0,0,0,0,0.1,0,0,6.55
246,Luan,Corinthians,27,11(9),1051,1,0,0.8,0.8,2,1,1.2,1,1,0.8,0,1.4,6.55
